id,age,income,score,category,region,active,signup_date
0,31,27192,0.3621,D,south,true,2023-09-10
1,32,45568,0.6680,C,north,false,2023-04-28
2,19,49976,0.3708,E,north,true,2023-07-13
3,48,62896,0.6513,B,east,true,2023-12-14
4,39,72675,0.5972,C,south,false,2023-05-12
5,34,70207,0.4925,C,west,false,2023-08-04
6,63,51064,0.5599,A,north,false,2023-11-14
7,44,54741,0.3965,C,east,false,2023-02-19
8,52,61906,0.6573,C,north,false,2023-11-16
9,49,72350,0.7118,B,west,true,2023-11-20
10,21,70330,0.4751,E,east,true,2023-12-16
11,27,89517,0.5302,E,west,false,2023-06-11
12,46,71395,0.4329,E,west,false,2023-09-13
13,55,,0.7967,C,south,true,2023-02-13
14,27,43720,0.5279,B,south,true,2023-02-26
15,39,55799,0.3689,A,south,false,2023-11-02
16,57,50195,1.0142,C,west,false,2023-05-04
17,40,93801,0.5388,C,north,true,2023-07-14
18,54,63839,0.6148,C,east,true,2023-11-20
19,52,31442,0.6449,A,east,true,2023-01-08
20,45,73871,0.5177,B,west,true,2023-03-13
21,44,56034,0.5330,C,north,true,2023-03-26
22,36,55086,0.6377,B,west,false,2023-11-23
23,18,72390,0.4282,D,west,true,2023-04-14
24,32,,0.5228,A,north,true,2023-10-09
25,41,72271,0.3059,B,north,false,2023-11-11
26,38,37346,0.3635,A,west,true,2023-04-27
27,35,71113,0.2552,C,north,true,2023-05-20
28,54,54842,0.4742,C,east,true,2023-08-05
29,65,40344,0.4976,B,east,true,2023-10-09
30,49,36051,0.4673,E,south,true,2023-07-03
31,46,48978,0.2659,E,south,true,2023-01-14
32,28,52177,0.2728,E,east,false,2023-03-14
33,32,74554,0.3146,C,south,false,2023-08-14
34,46,71214,0.4371,E,south,true,2023-02-07
35,45,62412,0.4846,D,north,false,2023-09-13
36,34,51070,0.4947,A,south,true,2023-08-28
37,44,39901,0.3332,E,south,false,2023-01-28
38,18,65735,0.6312,A,east,true,2023-04-02
39,51,63251,0.4305,D,east,false,2023-03-25
40,37,45109,0.2351,B,west,false,2023-01-04
41,46,62735,0.3414,D,west,true,2023-02-06
42,40,48955,0.4681,E,east,false,2023-06-12
43,52,68097,0.4038,E,north,false,2023-07-11
44,40,67305,0.4305,B,north,false,2023-10-16
45,42,76905,0.6937,C,south,true,2023-05-07
46,57,41396,0.4824,B,west,true,2023-09-03
47,36,10335,0.5523,C,west,false,2023-03-16
48,32,76466,0.6472,E,north,false,2023-02-02
49,26,28449,0.5045,D,south,true,2023-05-22
50,39,62420,0.5575,D,north,true,2023-05-26
51,41,35472,0.7271,B,west,false,2023-10-17
52,45,49435,0.5249,B,north,true,2023-06-01
53,47,73309,0.5955,B,west,true,2023-12-15
54,49,81282,0.5034,E,east,false,2023-11-19
